date,open,high,low,close,up_down,up_down_ratio,ah_v,r_v,total_v,final_price,unfilled_v
2010/1/21,8185,8213,8112,8134,-51,-0.006269978,0,117077,117077,8134,53155
2010/2/23,7534,7552,7451,7535,1,0.000132714,0,90651,90651,7537,45011
2010/3/18,7837,7922,7818,7850,13,0.001656051,0,93097,93097,7849,39309
2010/4/22,7905,7953,7843,7925,20,0.002523659,0,116094,116094,7923,47301
2010/5/20,7509,7514,7356,7357,-152,-0.020660595,0,129922,129922,7364,52890
2010/6/18,7364,7387,7297,7352,-12,-0.001632209,0,96166,96166,7349,46265
2010/7/22,7585,7614,7536,7563,-22,-0.002908899,0,91546,91546,7561,41414
2010/8/19,7899,7922,7847,7918,19,0.002399596,0,88915,88915,7918,48656
2010/9/16,8145,8163,8062,8070,-75,-0.00929368,0,94098,94098,8071,48827
2010/10/21,8080,8144,8063,8088,8,0.00098912,0,111011,111011,8088,42406
2010/11/18,8255,8294,8239,8292,37,0.004462132,0,78768,78768,8291,57727
2010/12/16,8764,8794,8754,8773,9,0.001025875,0,68086,68086,8773,58975
2011/1/20,9018,9032,8996,9009,-9,-0.000999001,0,64889,64889,9007,58154
2011/2/17,8651,8675,8589,8629,-22,-0.002549542,0,119834,119834,8625,50564
2011/3/17,8151,8274,8129,8255,104,0.012598425,0,148030,148030,8257,52852
2011/4/21,8882,9004,8879,8993,111,0.012342933,0,119477,119477,8989,59108
2011/5/19,8960,9043,8838,8840,-120,-0.013574661,0,166077,166077,8841,61154
2011/6/16,8559,8559,8481,8493,-66,-0.007771106,0,122413,122413,8494,49136
2011/7/21,8637,8654,8615,8652,15,0.001733703,0,63011,63011,8651,57740
2011/8/18,7580,7584,7447,7500,-80,-0.010666667,0,152050,152050,7498,57535
